source_ip_address,source_port_number,destination_ip_address,destination_port_number,is_ack,destination_mac_address,acknowledge_number,is_rst,is_cwr,is_fin,total_ip_packet_length,window_size,network_protocol,is_psh,is_syn,is_urg,transport_protocol,ttl,ip_identifier,sequence_number,is_ece,source_mac_address,attack_flag,attack_step,attack_name
127.0.0.1,40016,127.0.0.1,7443,0,00:00:00:00:00:00,0,0,0,0,60,65495,IP,0,1,0,TCP,64,44704,346860445,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346860446,0,0,0,60,65483,IP,0,0,0,TCP,64,0,3206203380,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206203381,0,0,0,52,512,IP,0,0,0,TCP,64,44705,346860446,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206203381,0,0,0,309,512,IP,1,0,0,TCP,64,44706,346860446,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346860703,0,0,0,52,510,IP,0,0,0,TCP,64,35170,3206203381,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346860703,0,0,0,1188,512,IP,1,0,0,TCP,64,35171,3206203381,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206204517,0,0,0,52,504,IP,0,0,0,TCP,64,44707,346860703,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206204517,0,0,0,959,512,IP,1,0,0,TCP,64,44708,346860703,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206204517,0,0,0,203,512,IP,1,0,0,TCP,64,44709,346861610,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346861761,0,0,0,52,504,IP,0,0,0,TCP,64,35172,3206204517,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346861761,0,0,0,595,507,IP,1,0,0,TCP,64,35173,3206204517,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346861761,0,0,1,1099,512,IP,1,0,0,TCP,64,35174,3206205060,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206206108,0,0,0,52,503,IP,0,0,0,TCP,64,44710,346861761,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40016,127.0.0.1,7443,1,00:00:00:00:00:00,3206206108,0,0,1,52,512,IP,0,0,0,TCP,64,44711,346861761,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40016,1,00:00:00:00:00:00,346861762,0,0,0,52,512,IP,0,0,0,TCP,64,0,3206206108,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,0,00:00:00:00:00:00,0,0,0,0,60,65495,IP,0,1,0,TCP,64,35552,294934936,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294934937,0,0,0,60,65483,IP,0,0,0,TCP,64,0,1341210729,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341210730,0,0,0,52,512,IP,0,0,0,TCP,64,35553,294934937,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341210730,0,0,0,309,512,IP,1,0,0,TCP,64,35554,294934937,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294935194,0,0,0,52,510,IP,0,0,0,TCP,64,16255,1341210730,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294935194,0,0,0,1188,512,IP,1,0,0,TCP,64,16256,1341210730,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341211866,0,0,0,52,504,IP,0,0,0,TCP,64,35555,294935194,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341211866,0,0,0,960,512,IP,1,0,0,TCP,64,35556,294935194,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341211866,0,0,0,203,512,IP,1,0,0,TCP,64,35557,294936102,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294936253,0,0,0,52,504,IP,0,0,0,TCP,64,16257,1341211866,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294936253,0,0,0,595,507,IP,1,0,0,TCP,64,16258,1341211866,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294936253,0,0,1,1381,512,IP,1,0,0,TCP,64,16259,1341212409,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341213739,0,0,0,52,502,IP,0,0,0,TCP,64,35558,294936253,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40018,127.0.0.1,7443,1,00:00:00:00:00:00,1341213739,0,0,1,52,512,IP,0,0,0,TCP,64,35559,294936253,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40018,1,00:00:00:00:00:00,294936254,0,0,0,52,512,IP,0,0,0,TCP,64,0,1341213739,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,0,00:00:00:00:00:00,0,0,0,0,60,65495,IP,0,1,0,TCP,64,25691,2825223628,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825223629,0,0,0,60,65483,IP,0,0,0,TCP,64,0,523632867,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523632868,0,0,0,52,512,IP,0,0,0,TCP,64,25692,2825223629,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523632868,0,0,0,309,512,IP,1,0,0,TCP,64,25693,2825223629,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825223886,0,0,0,52,510,IP,0,0,0,TCP,64,30675,523632868,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825223886,0,0,0,1186,512,IP,1,0,0,TCP,64,30676,523632868,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523634002,0,0,0,52,504,IP,0,0,0,TCP,64,25694,2825223886,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523634002,0,0,0,960,512,IP,1,0,0,TCP,64,25695,2825223886,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523634002,0,0,0,203,512,IP,1,0,0,TCP,64,25696,2825224794,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825224945,0,0,0,52,504,IP,0,0,0,TCP,64,30677,523634002,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825224945,0,0,0,595,507,IP,1,0,0,TCP,64,30678,523634002,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825224945,0,0,1,1381,512,IP,1,0,0,TCP,64,30679,523634545,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523635875,0,0,0,52,502,IP,0,0,0,TCP,64,25697,2825224945,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40020,127.0.0.1,7443,1,00:00:00:00:00:00,523635875,0,0,1,52,512,IP,0,0,0,TCP,64,25698,2825224945,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40020,1,00:00:00:00:00:00,2825224946,0,0,0,52,512,IP,0,0,0,TCP,64,0,523635875,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,0,00:00:00:00:00:00,0,0,0,0,60,65495,IP,0,1,0,TCP,64,9205,3475025898,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475025899,0,0,0,60,65483,IP,0,0,0,TCP,64,0,1169211631,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169211632,0,0,0,52,512,IP,0,0,0,TCP,64,9206,3475025899,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169211632,0,0,0,309,512,IP,1,0,0,TCP,64,9207,3475025899,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475026156,0,0,0,52,510,IP,0,0,0,TCP,64,14752,1169211632,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475026156,0,0,0,1188,512,IP,1,0,0,TCP,64,14753,1169211632,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169212768,0,0,0,52,504,IP,0,0,0,TCP,64,9208,3475026156,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169212768,0,0,0,960,512,IP,1,0,0,TCP,64,9209,3475026156,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169212768,0,0,0,209,512,IP,1,0,0,TCP,64,9210,3475027064,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475027221,0,0,0,52,504,IP,0,0,0,TCP,64,14754,1169212768,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475027221,0,0,0,595,507,IP,1,0,0,TCP,64,14755,1169212768,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475027221,0,0,1,1101,512,IP,1,0,0,TCP,64,14756,1169213311,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169214361,0,0,0,52,503,IP,0,0,0,TCP,64,9211,3475027221,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40032,127.0.0.1,7443,1,00:00:00:00:00:00,1169214361,0,0,1,52,512,IP,0,0,0,TCP,64,9212,3475027221,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40032,1,00:00:00:00:00:00,3475027222,0,0,0,52,512,IP,0,0,0,TCP,64,0,1169214361,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,0,00:00:00:00:00:00,0,0,0,0,60,65495,IP,0,1,0,TCP,64,49388,2567774769,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567774770,0,0,0,60,65483,IP,0,0,0,TCP,64,0,4227852580,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227852581,0,0,0,52,512,IP,0,0,0,TCP,64,49389,2567774770,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227852581,0,0,0,309,512,IP,1,0,0,TCP,64,49390,2567774770,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567775027,0,0,0,52,510,IP,0,0,0,TCP,64,38013,4227852581,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567775027,0,0,0,1187,512,IP,1,0,0,TCP,64,38014,4227852581,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227853716,0,0,0,52,504,IP,0,0,0,TCP,64,49391,2567775027,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227853716,0,0,0,959,512,IP,1,0,0,TCP,64,49392,2567775027,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227853716,0,0,0,209,512,IP,1,0,0,TCP,64,49393,2567775934,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567776091,0,0,0,52,504,IP,0,0,0,TCP,64,38015,4227853716,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567776091,0,0,0,595,507,IP,1,0,0,TCP,64,38016,4227853716,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567776091,0,0,1,1101,512,IP,1,0,0,TCP,64,38017,4227854259,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227855309,0,0,0,52,503,IP,0,0,0,TCP,64,49394,2567776091,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40034,127.0.0.1,7443,1,00:00:00:00:00:00,4227855309,0,0,1,52,512,IP,0,0,0,TCP,64,49395,2567776091,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40034,1,00:00:00:00:00:00,2567776092,0,0,0,52,512,IP,0,0,0,TCP,64,0,4227855309,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40046,127.0.0.1,7443,0,00:00:00:00:00:00,0,0,0,0,60,65495,IP,0,1,0,TCP,64,22971,1299845836,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40046,1,00:00:00:00:00:00,1299845837,0,0,0,60,65483,IP,0,0,0,TCP,64,0,918072741,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40046,127.0.0.1,7443,1,00:00:00:00:00:00,918072742,0,0,0,52,512,IP,0,0,0,TCP,64,22972,1299845837,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40046,127.0.0.1,7443,1,00:00:00:00:00:00,918072742,0,0,0,309,512,IP,1,0,0,TCP,64,22973,1299845837,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40046,1,00:00:00:00:00:00,1299846094,0,0,0,52,510,IP,0,0,0,TCP,64,34599,918072742,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40046,1,00:00:00:00:00:00,1299846094,0,0,0,1187,512,IP,1,0,0,TCP,64,34600,918072742,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40046,127.0.0.1,7443,1,00:00:00:00:00:00,918073877,0,0,0,52,504,IP,0,0,0,TCP,64,22974,1299846094,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40046,127.0.0.1,7443,1,00:00:00:00:00:00,918073877,0,0,0,960,512,IP,1,0,0,TCP,64,22975,1299846094,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,40046,127.0.0.1,7443,1,00:00:00:00:00:00,918073877,0,0,0,209,512,IP,1,0,0,TCP,64,22976,1299847002,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40046,1,00:00:00:00:00:00,1299847159,0,0,0,52,504,IP,0,0,0,TCP,64,34601,918073877,0,00:00:00:00:00:00,0,benign,normal
127.0.0.1,7443,127.0.0.1,40046,1,00:00:00:00:00:00,1299847159,0,0,0,595,507,IP,1,0,0,TCP,64,34602,918073877,0,00:00:00:00:00:00,0,benign,normal
