hostname,window_start,window_end,mean_number_of_open_processes,max_total_swap_space_megabytes,max_total_memory_megabytes,max_number_of_zombie_processes,max_cpu_idle_time_percentage,mean_total_free_memory_megabytes,mean_number_of_transmitted_udp_datagrams,mean_sleeping_uninterruptible,min_total_memory_megabytes,max_number_of_exit_processes,min_total_free_memory_megabytes,mean_cpu_utilization_on_user_mode,mean_write_request_throughput,max_cpu_utilization_on_kernel_mode,min_cpu_running_time_on_user_mode,min_number_of_received_udp_datagrams,min_number_of_open_processes,max_number_of_transmitted_icmp_datagrams,mean_read_request_throughput,min_cpu_running_time_on_system_mode,max_kernel_malloc,max_write_request_throughput,min_cpu_utilization_on_kernel_mode,mean_total_memory_megabytes,min_cpu_idle_time_percentage,min_number_of_transmitted_icmp_datagrams,min_read_request_throughput,max_cpu_running_time_on_system_mode,max_number_of_transmitted_tcp_segments,max_number_of_received_udp_datagrams,mean_cpu_running_time_on_user_mode,mean_number_of_received_icmp_datagrams,max_number_of_running_threads,mean_total_swap_space_megabytes,mean_number_of_exit_processes,min_cpu_utilization_on_user_mode,mean_number_of_transmitted_icmp_datagrams,max_number_of_received_tcp_segments,max_number_of_open_processes,mean_number_of_received_tcp_segments,mean_kernel_malloc,max_number_of_transmitted_udp_datagrams,max_cpu_running_time_on_user_mode,min_number_of_transmitted_tcp_segments,max_read_request_throughput,mean_number_of_transmitted_tcp_segments,min_kernel_malloc,mean_number_of_received_udp_datagrams,min_number_of_exit_processes,min_number_of_transmitted_udp_datagrams,min_number_of_received_tcp_segments,max_sleeping_uninterruptible,min_number_of_received_icmp_datagrams,mean_cpu_idle_time_percentage,mean_number_of_running_threads,min_number_of_running_threads,mean_cpu_running_time_on_system_mode,min_sleeping_uninterruptible,min_total_swap_space_megabytes,min_number_of_zombie_processes,max_total_free_memory_megabytes,mean_cpu_utilization_on_kernel_mode,max_cpu_utilization_on_user_mode,mean_number_of_zombie_processes,max_number_of_received_icmp_datagrams,min_write_request_throughput,attack_flag,attack_step,attack_name
att,1716971325,1716971335.0,32.0,16000.0,60000.0,0,5936,1415.2000000000003,112.0,-8.0,60000.0,-8,1415.2000000000003,392.0,931160.0,56,0.16,112,32,-8,504384.0,0.0,2454.4,931160,56,60000.0,5936,-8,504384,0.0,68680,112,0.16,-8.0,-8,16000.0,-8.0,392,-8.0,73200,32,73200.0,2454.4,112,0.16,68680,504384,68680.0,2454.4,112.0,-8,112,73200,-8,-8,5936.0,-8.0,-8,0.0,-8,16000.0,0,1415.2000000000003,56.0,392,0.0,-8,931160,0,-,
att,1716971425.0,1716971435.0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-,
att,1716971325,1716971335.0,28.0,14000.0,52500.0,0,5194,1238.3000000000002,98.0,-7.0,52500.0,-7,1238.3000000000002,343.0,814765.0,49,0.14,98,28,-7,441336.0,0.0,2147.6,814765,49,52500.0,5194,-7,441336,0.0,60095,98,0.14,-7.0,-7,14000.0,-7.0,343,-7.0,64050,28,64050.0,2147.6,98,0.14,60095,441336,60095.0,2147.6,98.0,-7,98,64050,-7,-7,5194.0,-7.0,-7,0.0,-7,14000.0,0,1238.3000000000002,49.0,343,0.0,-7,814765,0,-,
att,1716971425.0,1716971435.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-,
att,1716971325,1716971335.0,24.0,12000.0,45000.0,0,4452,1061.4,84.0,-6.0,45000.0,-6,1061.4,294.0,698370.0,42,0.12000000000000001,84,24,-6,378288.0,0.0,1840.8,698370,42,45000.0,4452,-6,378288,0.0,51510,84,0.12000000000000001,-6.0,-6,12000.0,-6.0,294,-6.0,54900,24,54900.0,1840.8,84,0.12000000000000001,51510,378288,51510.0,1840.8,84.0,-6,84,54900,-6,-6,4452.0,-6.0,-6,0.0,-6,12000.0,0,1061.4,42.0,294,0.0,-6,698370,0,-,
att,1716971425.0,1716971435.0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0,-,
att,1716971325,1716971335.0,20.0,10000.0,37500.0,0,3710,884.5,70.0,-5.0,37500.0,-5,884.5,245.0,581975.0,35,0.1,70,20,-5,315240.0,0.0,1534.0,581975,35,37500.0,3710,-5,315240,0.0,42925,70,0.1,-5.0,-5,10000.0,-5.0,245,-5.0,45750,20,45750.0,1534.0,70,0.1,42925,315240,42925.0,1534.0,70.0,-5,70,45750,-5,-5,3710.0,-5.0,-5,0.0,-5,10000.0,0,884.5,35.0,245,0.0,-5,581975,0,-,
att,1716971425.0,1716971435.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-,
att,1716971325,1716971335.0,16.0,8000.0,30000.0,0,2968,707.6,56.0,-4.0,30000.0,-4,707.6,196.0,465580.0,28,0.08,56,16,-4,252192.0,0.0,1227.2,465580,28,30000.0,2968,-4,252192,0.0,34340,56,0.08,-4.0,-4,8000.0,-4.0,196,-4.0,36600,16,36600.0,1227.2,56,0.08,34340,252192,34340.0,1227.2,56.0,-4,56,36600,-4,-4,2968.0,-4.0,-4,0.0,-4,8000.0,0,707.6,28.0,196,0.0,-4,465580,0,-,
att,1716971425.0,1716971435.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-,
