window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,forward_iat_total,backward_iat_std,backward_iat_max,total_fhlen,total_bhlen,backward_iat_min,forward_iat_min,fpkts_per_second,flow_iat_min,forward_packet_length_mean,forward_iat_std,flow_iat_total,flow_syn,flow_fin,forward_iat_max,flow_iat_max,forward_packet_length_min,total_backward_packets,flow_iat_mean,flow_ece,flow_protocol,flow_iat_std,bpkts_per_second,backward_packet_length_mean,backward_iat_mean,total_length_of_forward_packets,flow_cwr,flow_packets_per_second,forward_iat_mean,flow_urg,total_length_of_backward_packets,flow_rst,total_forward_packets,forward_packet_length_max,flow_ack,forward_packet_length_std,backward_iat_total,backward_packet_length_max,flow_psh,backward_packet_length_std,backward_packet_length_min,attack_flag,attack_step,attack_name
1716969217.514212,1716969227.514212,17,10.71.65.56,5353,224.0.0.251,5353,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,528.0,0.0,0,0,0,-3,-3,528,0,0.0,0,51,0.0,0.0,0,-3,528,0,0.30000000000000004,0.0,0,0,0,3,528,0,0.0,0,-3,0,-3,-3,0,-,
1716969217.514212,1716969227.514212,17,10.71.64.106,4988,10.71.255.255,1007,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,558.0,0.0,0,0,0,-3,-3,558,0,0.0,0,51,0.0,0.0,0,-3,558,0,0.30000000000000004,0.0,0,0,0,3,558,0,0.0,0,-3,0,-3,-3,0,-,
1716969217.514212,1716969227.514212,17,10.71.65.56,137,10.71.255.255,137,16.332147,-3,-3,0,405,-3,0.926313,1.5,0.926313,330.0,3.4499999999999997,16.332147,0,0,8.943837,8.943837,330,0,3.27,0,51,3.4499999999999997,0.0,0,-3,1650,0,1.5,3.27,0,0,0,15,330,0,0.0,0,-3,0,-3,-3,0,-,
1716969217.514212,1716969227.514212,6,10.71.65.58,4374,142.251.130.14,443,2.635380,-3,-3,0,486,-3,0.000048,1.7999999999999998,0.000048,1878.0,0.44999999999999996,2.635380,0,0,0.877263,0.877263,198,0,0.45,0,18,0.44999999999999996,0.0,0,-3,11268,0,1.7999999999999998,0.45,0,0,0,18,7626,18,2665.8,0,-3,15,-3,-3,0,-,
1716969217.514212,1716969227.514212,6,142.251.130.14,443,10.71.65.58,4374,4.524294,-3,-3,0,810,-3,0.000000,3.0,0.000000,366.9,0.39,4.524294,0,0,0.873243,0.873243,198,0,0.45,0,18,0.39,0.0,0,-3,3669,0,3.0,0.45,0,0,0,30,954,30,268.53000000000003,0,-3,12,-3,-3,0,-,
1716969217.514212,1716969227.514212,6,10.71.65.58,5374,172.217.25.3,443,0.619530,-3,-3,0,405,-3,0.001095,1.5,0.001095,325.20000000000005,0.09,0.619530,0,0,0.206973,0.206973,198,0,0.12,0,18,0.09,0.0,0,-3,1626,0,1.5,0.12,0,0,0,15,495,15,95.61,0,-3,12,-3,-3,0,-,
1716969217.514212,1716969227.514212,6,172.217.25.3,443,10.71.65.58,5374,0.401877,-3,-3,0,648,-3,0.000000,2.4000000000000004,0.000000,293.625,0.06,0.401877,0,0,0.224139,0.224139,198,0,0.06,0,18,0.06,0.0,0,-3,2349,0,2.4000000000000004,0.06,0,0,0,24,420,24,85.74,0,-3,15,-3,-3,0,-,
1716969217.514212,1716969227.514212,17,10.71.64.34,5353,224.0.0.251,5353,3.046464,-3,-3,0,162,-3,3.046464,0.6000000000000001,3.046464,210.0,1.53,3.046464,0,0,3.046464,3.046464,210,0,1.53,0,51,1.53,0.0,0,-3,420,0,0.6000000000000001,1.53,0,0,0,6,210,0,0.0,0,-3,0,-3,-3,0,-,
1716969217.514212,1716969227.514212,17,10.71.64.34,137,10.71.255.255,137,0,-3,-3,0,81,-3,299997,0.30000000000000004,299997,276.0,0.0,0,0,0,-3,-3,276,0,0.0,0,51,0.0,0.0,0,-3,276,0,0.30000000000000004,0.0,0,0,0,3,276,0,0.0,0,-3,0,-3,-3,0,-,
1716969217.514212,1716969227.514212,6,216.58.200.234,443,10.71.65.58,9332,0.356190,-3,-3,0,243,-3,0.177207,0.8999999999999999,0.177207,362.0,0.09,0.356190,0,0,0.178983,0.178983,198,0,0.12,0,18,0.09,0.0,0,-3,1086,0,0.8999999999999999,0.12,0,0,0,9,690,9,231.93,0,-3,3,-3,-3,0,-,
