window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,forward_iat_total,backward_iat_std,backward_iat_max,total_fhlen,total_bhlen,backward_iat_min,forward_iat_min,fpkts_per_second,flow_iat_min,forward_packet_length_mean,forward_iat_std,flow_iat_total,flow_syn,flow_fin,forward_iat_max,flow_iat_max,forward_packet_length_min,total_backward_packets,flow_iat_mean,flow_ece,flow_protocol,flow_iat_std,bpkts_per_second,backward_packet_length_mean,backward_iat_mean,total_length_of_forward_packets,flow_cwr,flow_packets_per_second,forward_iat_mean,flow_urg,total_length_of_backward_packets,flow_rst,total_forward_packets,forward_packet_length_max,flow_ack,forward_packet_length_std,backward_iat_total,backward_packet_length_max,flow_psh,backward_packet_length_std,backward_packet_length_min,attack_flag,attack_step,attack_name
1716675029.001069,1716685029.001069,17,142.250.206.202,443,192.168.45.23,8587,220.267720,24.96,69.889080,216,270,29.951702,30.143148,0.0,0.061940,292.4,28.74,360.292052,0,0,80.092820,80.092820,132,8,40.04,0,34,27.5,0.0,145.0,34.94,1462,0,0.0,44.06,0,580,0,10,400,0,130.96,139.776572,148,0,3.0,142,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,8814,172.217.161.206,443,617.114032,23.12,77.839548,918,756,16.586078,16.798624,0.0,0.151482,296.42857142857144,22.5,1431.333252,0,0,77.342596,77.991030,142,34,46.18,0,34,22.92,0.0,344.2352941176471,47.74,4150,0,0.0,44.08,0,5852,0,28,1132,0,316.26,811.644026,2214,0,489.68,134,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.117,5353,224.0.0.251,5353,625.860882,-2,-2,0,1026,-2,0.000884,0.0,0.000884,245.78947368421052,21.36,625.860882,0,0,65.757626,65.757626,224,0,32.94,0,34,21.36,0.0,0,-2,4670,0,0.0,32.94,0,0,0,38,278,0,24.72,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,3502,8.8.8.8,53,0,0.0,-2,54,54,199998,199998,0.0,0.092378,148.0,0.0,0.092378,0,0,-2,0.092378,148,2,0.04,0,34,0.04,0.0,180.0,0.0,148,0,0.0,0.0,0,180,0,2,148,0,0.0,0,180,0,0.0,180,1,reconnaissance,ping (reconnaissance)
1716675029.001069,1716685029.001069,1,192.168.45.23,None,142.250.207.100,None,2.154012,1.08,2.174386,76,76,2.174386,2.154012,0.0,0.127758,196.0,1.08,4.583914,0,0,2.154012,2.302144,196,4,1.14,0,2,1.08,0.0,196.0,1.08,392,0,0.0,1.08,0,392,0,4,196,0,0.0,2.174386,196,0,0.0,196,1,reconnaissance,ping (reconnaissance)
1716675029.001069,1716685029.001069,17,192.168.45.23,1791,8.8.8.8,53,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,34,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,4673,219.250.36.130,53,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,34,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,8625,219.250.36.130,53,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,34,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,1869,172.217.25.163,443,0.779642,0.04,0.144132,486,378,0.060620,0.000386,0.0,0.000386,715.7142857142857,0.1,2.537892,0,0,0.227056,0.266582,146,18,0.16,0,34,0.08,0.0,1010.8888888888889,0.08,5010,0,0.0,0.12,0,9098,0,14,2584,0,887.84,0.656200,2584,0,980.6,128,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,4261,39.118.108.234,123,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,34,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,6,192.168.45.23,5446,64.233.187.188,5228,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,12,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,6,192.168.45.23,1430,172.217.172.3,443,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,12,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,4009,219.250.36.130,53,0,-2,-2,0,0,-2,-2,0.0,-2,0,-2,0,0,0,-2,-2,-2,0,-2,0,34,-2,0.0,0,-2,0,0,0.0,-2,0,0,0,0,-2,0,-2,0,-2,0,-2,-2,0,-,
1716675029.001069,1716685029.001069,6,192.168.45.23,3480,185.125.190.98,80,2.650186,0.28,0.614296,166,220,0.614296,0.678594,0.0,0.678510,179.5,0.46,5.914308,2,2,1.292878,1.292878,132,6,0.84,0,12,0.44,0.0,260.6666666666667,0.40,718,0,0.0,0.66,0,782,0,8,306,12,73.32,1.228592,502,4,170.78,132,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,3029,172.217.25.170,443,0.530094,0.04,0.100958,324,324,0.019888,0.000422,0.0,0.000422,742.6666666666666,0.08,1.531600,0,0,0.213920,0.237628,146,12,0.12,0,34,0.08,0.0,1298.0,0.04,4456,0,0.0,0.08,0,7788,0,12,2584,0,887.72,0.181486,2584,0,1036.7,132,0,-,
1716675029.001069,1716685029.001069,17,142.250.206.202,443,192.168.45.23,8587,410.494402,13.99,40.015612,378,459,0.000000,0.000000,0.0,0.000000,136.52941176470588,14.69,700.624064,0,0,40.046411,40.046582,64,14,22.60,0,17,14.48,0.0,72.57142857142857,20.69,2321,0,0.0,24.15,0,1016,0,17,200,0,66.97,289.696082,74,0,1.4,71,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,8814,172.217.161.206,443,1003.662424,11.7,38.988425,1431,1188,0.000000,0.000000,0.0,0.000000,145.02272727272728,11.55,2303.119586,0,0,38.995688,39.064166,71,53,23.74,0,17,11.66,0.01,168.1509433962264,24.44,6381,0,0.01,22.81,0,8912,0,44,566,0,155.18,1295.442889,1107,0,241.01,67,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.117,5353,224.0.0.251,5353,1007.000643,-1,-1,0,1593,-1,0.000000,0.01,0.000000,123.44067796610169,10.97,1007.000643,0,0,34.104660,34.104660,112,0,17.07,0,17,10.97,0.0,0,-1,7283,0,0.01,17.07,0,0,0,59,139,0,12.49,0,-1,0,-1,-1,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,3502,8.8.8.8,53,0.080106,0.02,0.034797,135,135,0.000000,0.000000,0.0,0.000000,74.0,0.02,0.380645,0,0,0.040053,0.080986,74,5,0.04,0,17,0.03,0.0,94.8,0.01,370,0,0.0,0.02,0,474,0,5,74,0,0.0,0.069594,102,0,5.88,90,1,reconnaissance,ping (reconnaissance)
1716675029.001069,1716685029.001069,1,192.168.45.23,None,142.250.207.100,None,7.388954,0.82,2.085509,152,152,0.000000,0.000000,0.0,0.000000,98.0,0.81,15.332583,0,0,2.078968,2.149388,98,8,0.96,0,1,0.82,0.0,98.0,0.93,784,0,0.0,0.92,0,784,0,8,98,0,0.0,7.432597,98,0,0.0,98,1,reconnaissance,ping (reconnaissance)
1716675029.001069,1716685029.001069,17,192.168.45.23,1791,8.8.8.8,53,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,88.0,0.0,0.102440,0,0,0.000000,0.051220,88,2,0.03,0,17,0.03,0.0,126.0,0.00,176,0,0.0,0.00,0,252,0,2,88,0,0.0,0.000000,126,0,0.0,126,1,reconnaissance,ping (reconnaissance)
1716675029.001069,1716685029.001069,17,192.168.45.23,4673,219.250.36.130,53,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,86.0,0.0,0.023074,0,0,0.000000,0.011537,86,2,0.01,0,17,0.01,0.0,102.0,0.00,172,0,0.0,0.00,0,204,0,2,86,0,0.0,0.000000,102,0,0.0,102,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,8625,219.250.36.130,53,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,86.0,0.0,0.022972,0,0,0.000000,0.011486,86,2,0.01,0,17,0.01,0.0,143.0,0.00,172,0,0.0,0.00,0,286,0,2,86,0,0.0,0.000000,143,0,0.0,143,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,1869,172.217.25.163,443,1.436319,0.02,0.090335,783,621,0.000000,0.000000,0.0,0.000000,333.0869565217391,0.05,4.376814,0,0,0.133428,0.151560,73,29,0.08,0,17,0.04,0.0,475.2068965517241,0.04,7661,0,0.01,0.06,0,13781,0,23,1292,0,431.71,1.164970,1292,0,485.96,64,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,4261,39.118.108.234,123,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,90.0,0.0,0.029914,0,0,0.000000,0.014957,90,2,0.01,0,17,0.01,0.0,90.0,0.00,180,0,0.0,0.00,0,180,0,2,90,0,0.0,0.000000,90,0,0.0,90,1,reconnaissance,nmap (reconnaissance)
1716675029.001069,1716685029.001069,6,192.168.45.23,5446,64.233.187.188,5228,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,66.0,0.0,0.125234,0,0,0.000000,0.062617,66,2,0.03,0,6,0.03,0.0,66.0,0.00,132,0,0.0,0.00,0,132,0,2,66,4,0.0,0.000000,66,0,0.0,66,0,-,
1716675029.001069,1716685029.001069,6,192.168.45.23,1430,172.217.172.3,443,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,66.0,0.0,0.602566,0,0,0.000000,0.301283,66,2,0.15,0,6,0.15,0.0,66.0,0.00,132,0,0.0,0.00,0,132,0,2,66,4,0.0,0.000000,66,0,0.0,66,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,4009,219.250.36.130,53,0.000000,0.0,0.000000,54,54,0.000000,0.000000,0.0,0.000000,100.0,0.0,0.023580,0,0,0.000000,0.011790,100,2,0.01,0,17,0.01,0.0,292.0,0.00,200,0,0.0,0.00,0,584,0,2,100,0,0.0,0.000000,292,0,0.0,292,0,-,
1716675029.001069,1716685029.001069,6,192.168.45.23,3480,185.125.190.98,80,5.268281,0.21,0.614196,303,384,0.000000,0.000000,0.0,0.000000,86.35714285714286,0.24,12.071366,3,5,0.646501,0.953451,66,11,0.48,0,6,0.25,0.0,118.63636363636364,0.28,1209,0,0.0,0.38,0,1305,0,14,153,22,34.95,3.071280,251,6,81.12,66,0,-,
1716675029.001069,1716685029.001069,17,192.168.45.23,3029,172.217.25.170,443,1.033103,0.02,0.050479,540,540,0.000000,0.000000,0.0,0.000000,341.5,0.05,2.772990,0,0,0.118981,0.118981,73,20,0.07,0,17,0.04,0.0,590.5,0.02,6830,0,0.0,0.05,0,11810,0,20,1292,0,430.49,0.373187,1292,0,522.13,64,0,-,
