hostname,window_start,window_end,mean_number_of_open_processes,max_total_swap_space_megabytes,max_total_memory_megabytes,max_number_of_zombie_processes,max_cpu_idle_time_percentage,mean_total_free_memory_megabytes,mean_number_of_transmitted_udp_datagrams,mean_sleeping_uninterruptible,min_total_memory_megabytes,max_number_of_exit_processes,min_total_free_memory_megabytes,mean_cpu_utilization_on_user_mode,mean_write_request_throughput,max_cpu_utilization_on_kernel_mode,min_cpu_running_time_on_user_mode,min_number_of_received_udp_datagrams,min_number_of_open_processes,max_number_of_transmitted_icmp_datagrams,mean_read_request_throughput,min_cpu_running_time_on_system_mode,max_kernel_malloc,max_write_request_throughput,min_cpu_utilization_on_kernel_mode,mean_total_memory_megabytes,min_cpu_idle_time_percentage,min_number_of_transmitted_icmp_datagrams,min_read_request_throughput,max_cpu_running_time_on_system_mode,max_number_of_transmitted_tcp_segments,max_number_of_received_udp_datagrams,mean_cpu_running_time_on_user_mode,mean_number_of_received_icmp_datagrams,max_number_of_running_threads,mean_total_swap_space_megabytes,mean_number_of_exit_processes,min_cpu_utilization_on_user_mode,mean_number_of_transmitted_icmp_datagrams,max_number_of_received_tcp_segments,max_number_of_open_processes,mean_number_of_received_tcp_segments,mean_kernel_malloc,max_number_of_transmitted_udp_datagrams,max_cpu_running_time_on_user_mode,min_number_of_transmitted_tcp_segments,max_read_request_throughput,mean_number_of_transmitted_tcp_segments,min_kernel_malloc,mean_number_of_received_udp_datagrams,min_number_of_exit_processes,min_number_of_transmitted_udp_datagrams,min_number_of_received_tcp_segments,max_sleeping_uninterruptible,min_number_of_received_icmp_datagrams,mean_cpu_idle_time_percentage,mean_number_of_running_threads,min_number_of_running_threads,mean_cpu_running_time_on_system_mode,min_sleeping_uninterruptible,min_total_swap_space_megabytes,min_number_of_zombie_processes,max_total_free_memory_megabytes,mean_cpu_utilization_on_kernel_mode,max_cpu_utilization_on_user_mode,mean_number_of_zombie_processes,max_number_of_received_icmp_datagrams,min_write_request_throughput,attack_flag,attack_step,attack_name
att,1716976114,1716976124.0,76.0,38000.0,142500.0,0,14098,3657.5,266.0,-19.0,142500.0,-19,3657.5,931.0,3358174.0,152,0.19000000000000003,266,76,-19,1306554.0,0.0,5890.0,3358174,152,142500.0,14098,-19,1306554,0.0,324273,266,0.19000000000000003,-19.0,-19,38000.0,-19.0,931,-19.0,365427,76,365427.0,5890.0,266,0.19000000000000003,324273,1306554,324273.0,5890.0,266.0,-19,266,365427,-19,-19,14098.0,-19.0,-19,0.0,-19,38000.0,0,3657.5,152.0,931,0.0,-19,3358174,0,-,
att,1716976214.0,1716976224.0,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,-19,0,-,
att,1716976114,1716976124.0,1197.0,36000.0,135000.0,0,13356,6639.300000000002,342.0,-18.0,16650.0,-18,3465.0,891.0,1594368.0,558,0.18000000000000002,252,72,-18,696294.0,0.0,5580.0,3181428,144,75825.0,5598,-18,154800,2664.0,307206,504,433.8000000000001,-18.0,-18,18900.0,-18.0,882,-18.0,346194,2322,173241.0,3117.599999999999,432,867.4200000000003,288,1237788,153747.0,655.1999999999998,378.0,-18,252,288,-18,-18,9477.0,-18.0,-18,1332.0,-18,1800.0,0,9813.6,351.0,900,0.0,-18,7308,0,-,
att,1716976214.0,1716976224.0,2088.0,1800.0,16650.0,0,6030,9802.800000000003,774.0,-18.0,16650.0,-18,9802.800000000003,666.0,8334.0,414,870.84,522,2088,-18,154872.0,2646.0,666.0,8334,414,16650.0,6030,-18,154872,2646.0,18648,522,870.84,-18.0,-18,1800.0,-18.0,666,-18.0,18648,2088,18648.0,666.0,774,870.84,18648,154872,18648.0,666.0,522.0,-18,774,18648,-18,-18,6030.0,-18.0,-18,2646.0,-18,1800.0,0,9802.800000000003,414.0,666,0.0,-18,8334,0,-,
att,1716976114,1716976124.0,776.3333333333333,34000.0,127500.0,0,12614,5271.133333333333,294.6666666666667,-17.0,15725.0,-17,3272.5,838.6666666666669,2005422.0,527,0.17,238,68,-17,828081.3333333331,0.0,5270.0,3004682,136,90241.66666666666,5287,-17,146200,2516.0,290139,476,273.18999999999994,-17.0,-17,23233.333333333336,-17.0,833,-17.0,326961,2193,218064.66666666672,3719.6000000000013,408,819.2300000000002,272,1169022,193516.6666666667,618.7999999999998,317.33333333333337,-17,238,272,-17,-17,10171.666666666668,-17.0,-17,838.6666666666669,-17,1700.0,0,9268.4,266.33333333333326,850,0.0,-17,6902,0,-,
att,1716976214.0,1716976224.0,1972.0,1700.0,15725.0,0,5695,9258.200000000003,731.0,-17.0,15725.0,-17,9258.200000000003,629.0,7871.0,391,822.46,493,1972,-17,146268.0,2499.0,629.0,7871,391,15725.0,5695,-17,146268,2499.0,17612,493,822.46,-17.0,-17,1700.0,-17.0,629,-17.0,17612,1972,17612.0,629.0,731,822.46,17612,146268,17612.0,629.0,493.0,-17,731,17612,-17,-17,5695.0,-17.0,-17,2499.0,-17,1700.0,0,9258.200000000003,391.0,629,0.0,-17,7871,0,-,
att,1716976114,1716976124.0,1064.0,32000.0,120000.0,0,11872,5901.600000000001,304.0,-16.0,14800.0,-16,3080.0,792.0,1417216.0,496,0.16,224,64,-16,618928.0,0.0,4960.0,2827936,128,67400.0,4976,-16,137600,2368.0,273072,448,385.6000000000001,-16.0,-16,16800.0,-16.0,784,-16.0,307728,2064,153992.0,2771.1999999999994,384,771.0400000000002,256,1100256,136664.0,582.3999999999999,336.0,-16,224,256,-16,-16,8424.0,-16.0,-16,1184.0,-16,1600.0,0,8723.199999999999,312.0,800,0.0,-16,6496,0,-,
att,1716976214.0,1716976224.0,1856.0,1600.0,14800.0,0,5360,8713.600000000002,688.0,-16.0,14800.0,-16,8713.600000000002,592.0,7408.0,368,774.08,464,1856,-16,137664.0,2352.0,592.0,7408,368,14800.0,5360,-16,137664,2352.0,16576,464,774.08,-16.0,-16,1600.0,-16.0,592,-16.0,16576,1856,16576.0,592.0,688,774.08,16576,137664,16576.0,592.0,464.0,-16,688,16576,-16,-16,5360.0,-16.0,-16,2352.0,-16,1600.0,0,8713.600000000002,368.0,592,0.0,-16,7408,0,-,
att,1716976114,1716976124.0,810.0,30000.0,112500.0,0,11130,5003.7,270.0,-15.0,13875.0,-15,2887.5,740.9999999999998,1593150.0,465,0.15,210,60,-15,670493.9999999998,0.0,4650.0,2651190,120,73050.0,4665,-15,129000,2220.0,256005,420,289.23,-15.0,-15,18600.0,-15.0,735,-15.0,288495,1935,173193.00000000003,3008.3999999999996,360,722.8500000000001,240,1031490,153699.00000000003,545.9999999999999,294.0,-15,210,240,-15,-15,8544.000000000002,-15.0,-15,888.0000000000002,-15,1500.0,0,8177.999999999998,257.99999999999994,750,0.0,-15,6090,0,-,
att,1716976214.0,1716976224.0,1740.0,1500.0,13875.0,0,5025,8169.000000000003,645.0,-15.0,13875.0,-15,8169.000000000003,555.0,6945.0,345,725.7,435,1740,-15,129060.0,2205.0,555.0,6945,345,13875.0,5025,-15,129060,2205.0,15540,435,725.7,-15.0,-15,1500.0,-15.0,555,-15.0,15540,1740,15540.0,555.0,645,725.7,15540,129060,15540.0,555.0,435.0,-15,645,15540,-15,-15,5025.0,-15.0,-15,2205.0,-15,1500.0,0,8169.000000000003,345.0,555,0.0,-15,6945,0,-,
att,1716976114,1716976124.0,931.0,28000.0,105000.0,0,10388,5163.900000000001,266.0,-14.0,12950.0,-14,2695.0,693.0,1240064.0,434,0.13999999999999999,196,56,-14,541562.0,0.0,4340.0,2474444,112,58975.0,4354,-14,120400,2072.0,238938,392,337.40000000000003,-14.0,-14,14700.0,-14.0,686,-14.0,269262,1806,134743.0,2424.7999999999997,336,674.6600000000001,224,962724,119581.0,509.59999999999985,294.0,-14,196,224,-14,-14,7371.0,-14.0,-14,1036.0,-14,1400.0,0,7632.799999999998,273.0,700,0.0,-14,5684,0,-,
att,1716976214.0,1716976224.0,1624.0,1400.0,12950.0,0,4690,7624.400000000002,602.0,-14.0,12950.0,-14,7624.400000000002,518.0,6482.0,322,677.32,406,1624,-14,120456.0,2058.0,518.0,6482,322,12950.0,4690,-14,120456,2058.0,14504,406,677.32,-14.0,-14,1400.0,-14.0,518,-14.0,14504,1624,14504.0,518.0,602,677.32,14504,120456,14504.0,518.0,406.0,-14,602,14504,-14,-14,4690.0,-14.0,-14,2058.0,-14,1400.0,0,7624.400000000002,322.0,518,0.0,-14,6482,0,-,
att,1716976114,1716976124.0,748.4285714285713,26000.0,97500.0,0,9646,4467.542857142858,237.71428571428564,-13.0,12025.0,-13,2502.5,642.5714285714287,1315232.285714286,403,0.12999999999999998,182,52,-13,558747.4285714285,0.0,4030.0,2297698,104,60867.85714285712,4043,-13,111800,1924.0,221871,364,268.5614285714286,-13.0,-13,15414.28571428572,-13.0,637,-13.0,250029,1677,142962.85714285716,2505.6571428571438,312,626.47,208,893958,126872.57142857139,473.1999999999999,260.0,-13,182,208,-13,-13,7244.714285714288,-13.0,-13,824.5714285714287,-13,1300.0,0,7087.5999999999985,232.14285714285717,650,0.0,-13,5278,0,-,
att,1716976214.0,1716976224.0,1508.0,1300.0,12025.0,0,4355,7079.800000000002,559.0,-13.0,12025.0,-13,7079.800000000002,481.0,6019.0,299,628.94,377,1508,-13,111852.0,1911.0,481.0,6019,299,12025.0,4355,-13,111852,1911.0,13468,377,628.94,-13.0,-13,1300.0,-13.0,481,-13.0,13468,1508,13468.0,481.0,559,628.94,13468,111852,13468.0,481.0,377.0,-13,559,13468,-13,-13,4355.0,-13.0,-13,1911.0,-13,1300.0,0,7079.800000000002,299.0,481,0.0,-13,6019,0,-,
att,1716976114,1716976124.0,798.0,24000.0,90000.0,0,8904,4426.2,228.0,-12.0,11100.0,-12,2310.0,594.0,1062912.0,372,0.11999999999999998,168,48,-12,464196.0,0.0,3720.0,2120952,96,50550.0,3732,-12,103200,1776.0,204804,336,289.2,-12.0,-12,12600.0,-12.0,588,-12.0,230796,1548,115494.0,2078.4,288,578.28,192,825192,102498.0,436.7999999999999,252.0,-12,168,192,-12,-12,6318.0,-12.0,-12,888.0,-12,1200.0,0,6542.399999999999,234.0,600,0.0,-12,4872,0,-,
att,1716976214.0,1716976224.0,1392.0,1200.0,11100.0,0,4020,6535.200000000002,516.0,-12.0,11100.0,-12,6535.200000000002,444.0,5556.0,276,580.5600000000001,348,1392,-12,103248.0,1764.0,444.0,5556,276,11100.0,4020,-12,103248,1764.0,12432,348,580.5600000000001,-12.0,-12,1200.0,-12.0,444,-12.0,12432,1392,12432.0,444.0,516,580.5600000000001,12432,103248,12432.0,444.0,348.0,-12,516,12432,-12,-12,4020.0,-12.0,-12,1764.0,-12,1200.0,0,6535.200000000002,276.0,444,0.0,-12,5556,0,-,
att,1716976114,1716976124.0,655.1111111111111,22000.0,82500.0,0,8162,3841.8111111111107,202.8888888888889,-11.0,10175.0,-11,2117.5,543.8888888888889,1082099.3333333333,341,0.10999999999999999,154,44,-11,462281.1111111111,0.0,3410.0,1944206,88,50355.55555555556,3421,-11,94600,1628.0,187737,308,235.6566666666667,-11.0,-11,12711.11111111111,-11.0,539,-11.0,211563,1419,117613.22222222222,2072.4000000000005,264,530.0899999999999,176,756426,104376.55555555558,400.3999999999999,222.44444444444449,-11,154,176,-11,-11,6054.888888888889,-11.0,-11,723.5555555555557,-11,1100.0,0,5997.199999999999,200.44444444444449,550,0.0,-11,4466,0,-,
