hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
att,1716976114,-1,49,-1,0,192.5,2000.0,1,310.0,7500.0,0,19233,176746,14,0.01,254.1,4,94.13,-1,-1,-1,3400.0,14,361.975,-1,0.74,8,5700.0,1,-1,2000.0,68766,0.6,-1,-1,0.0,10400.0,-1,1.12,742,17067,0,benign,benign
att,1716976125,-1,49,-1,0,178.9,2000.0,1,310.2,7500.0,0,19235,176856,15,0.01,254.1,5,94.29,-1,-1,-1,3400.0,14,362.553,-1,0.72,8,5700.0,1,-1,2000.0,68768,0.59,-1,-1,0.0,10600.0,-1,0.95,742,17069,0,benign,benign
att,1716976136,-1,49,-1,0,224.4,2000.0,1,310.2,7500.0,0,19237,176881,16,0.01,254.1,4,94.44,-1,-1,-1,3400.0,14,363.099,-1,0.68,8,5700.0,1,-1,2000.0,68768,0.58,-1,-1,0.0,10400.0,-1,0.74,742,17071,0,benign,benign
att,1716976147,-1,49,-1,0,237.0,2000.0,1,310.0,7500.0,0,19239,176938,17,0.01,254.2,4,94.602,-1,-1,-1,3400.0,14,363.694,-1,0.66,8,5700.0,1,-1,2000.0,68768,0.57,-1,-1,0.0,10200.0,-1,0.63,742,17073,0,benign,benign
att,1716976158,-1,49,-1,0,224.8,2000.0,1,310.0,7500.0,0,19241,177035,18,0.01,254.2,4,94.749,-1,-1,-1,3400.0,14,364.22700000000003,-1,0.64,8,5700.0,1,-1,2000.0,68768,0.57,-1,-1,0.0,10300.0,-1,0.53,742,17075,0,benign,benign
att,1716976169,-1,48,-1,0,214.4,2000.0,1,310.0,7500.0,0,19243,177056,19,0.01,254.2,4,94.91,-1,-1,-1,3400.0,14,364.819,-1,0.61,8,5700.0,1,-1,2000.0,68768,0.56,-1,-1,0.0,10300.0,-1,0.45,742,17077,0,benign,benign
att,1716976180,-1,48,-1,0,210.4,2000.0,1,310.0,7500.0,0,20247,177153,21,0.01,254.3,4,95.089,-1,-1,-1,3400.0,15,365.482,-1,0.61,8,5700.0,1,-1,2000.0,68768,0.56,-1,-1,0.0,10200.0,-1,0.45,742,17079,0,benign,benign
att,1716976191,-1,48,-1,0,269.8,2000.0,1,310.1,7500.0,0,20249,177245,22,0.01,254.3,4,95.247,-1,-1,-1,3400.0,15,366.056,-1,0.58,8,5700.0,1,-1,2000.0,68768,0.55,-1,-1,0.0,10300.0,-1,0.35,742,17081,0,benign,benign
att,1716976202,-1,48,-1,0,269.9,2000.0,1,310.1,7500.0,0,20251,177361,23,0.01,254.3,4,95.394,-1,-1,-1,3400.0,15,366.583,-1,0.56,8,5700.0,1,-1,2000.0,68768,0.54,-1,-1,0.0,10300.0,-1,0.3,743,17083,0,benign,benign
att,1716976213,-1,48,-1,0,277.1,2000.0,1,310.1,7500.0,0,20253,177412,24,0.01,254.4,4,95.546,-1,-1,-1,3400.0,15,367.123,-1,0.54,8,5700.0,1,-1,2000.0,68768,0.54,-1,-1,0.0,10300.0,-1,0.25,743,17085,0,benign,benign
