hostname,window_start,window_end,mean_number_of_open_processes,max_total_swap_space_megabytes,max_total_memory_megabytes,max_number_of_zombie_processes,max_cpu_idle_time_percentage,mean_total_free_memory_megabytes,mean_number_of_transmitted_udp_datagrams,mean_sleeping_uninterruptible,min_total_memory_megabytes,max_number_of_exit_processes,min_total_free_memory_megabytes,mean_cpu_utilization_on_user_mode,mean_write_request_throughput,max_cpu_utilization_on_kernel_mode,min_cpu_running_time_on_user_mode,min_number_of_received_udp_datagrams,min_number_of_open_processes,max_number_of_transmitted_icmp_datagrams,mean_read_request_throughput,min_cpu_running_time_on_system_mode,max_kernel_malloc,max_write_request_throughput,min_cpu_utilization_on_kernel_mode,mean_total_memory_megabytes,min_cpu_idle_time_percentage,min_number_of_transmitted_icmp_datagrams,min_read_request_throughput,max_cpu_running_time_on_system_mode,max_number_of_transmitted_tcp_segments,max_number_of_received_udp_datagrams,mean_cpu_running_time_on_user_mode,mean_number_of_received_icmp_datagrams,max_number_of_running_threads,mean_total_swap_space_megabytes,mean_number_of_exit_processes,min_cpu_utilization_on_user_mode,mean_number_of_transmitted_icmp_datagrams,max_number_of_received_tcp_segments,max_number_of_open_processes,mean_number_of_received_tcp_segments,mean_kernel_malloc,max_number_of_transmitted_udp_datagrams,max_cpu_running_time_on_user_mode,min_number_of_transmitted_tcp_segments,max_read_request_throughput,mean_number_of_transmitted_tcp_segments,min_kernel_malloc,mean_number_of_received_udp_datagrams,min_number_of_exit_processes,min_number_of_transmitted_udp_datagrams,min_number_of_received_tcp_segments,max_sleeping_uninterruptible,min_number_of_received_icmp_datagrams,mean_cpu_idle_time_percentage,mean_number_of_running_threads,min_number_of_running_threads,mean_cpu_running_time_on_system_mode,min_sleeping_uninterruptible,min_total_swap_space_megabytes,min_number_of_zombie_processes,max_total_free_memory_megabytes,mean_cpu_utilization_on_kernel_mode,max_cpu_utilization_on_user_mode,mean_number_of_zombie_processes,max_number_of_received_icmp_datagrams,min_write_request_throughput,attack_flag,attack_step,attack_name
att,1716976114,1716976124.0,80.0,40000.0,150000.0,0,14840,3850.0,280.0,-20.0,150000.0,-20,3850.0,980.0,3534920.0,160,0.20000000000000004,280,80,-20,1375320.0,0.0,6200.0,3534920,160,150000.0,14840,-20,1375320,0.0,341340,280,0.20000000000000004,-20.0,-20,40000.0,-20.0,980,-20.0,384660,80,384660.0,6200.0,280,0.20000000000000004,341340,1375320,341340.0,6200.0,280.0,-20,280,384660,-20,-20,14840.0,-20.0,-20,0.0,-20,40000.0,0,3850.0,160.0,980,0.0,-20,3534920,0,-,
att,1716976214.0,1716976224.0,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,0,-,
att,1716976114,1716976124.0,1263.5,38000.0,142500.0,0,14098,7008.150000000002,361.0,-19.0,17575.0,-19,3657.5,940.5,1682944.0,589,0.19000000000000003,266,76,-19,734977.0,0.0,5890.0,3358174,152,80037.5,5909,-19,163400,2812.0,324273,532,457.90000000000015,-19.0,-19,19950.0,-19.0,931,-19.0,365427,2451,182865.5,3290.799999999999,456,915.6100000000004,304,1306554,162288.5,691.5999999999998,399.0,-19,266,304,-19,-19,10003.5,-19.0,-19,1406.0,-19,1900.0,0,10358.800000000001,370.5,950,0.0,-19,7714,0,-,
att,1716976214.0,1716976224.0,2204.0,1900.0,17575.0,0,6365,10347.400000000003,817.0,-19.0,17575.0,-19,10347.400000000003,703.0,8797.0,437,919.22,551,2204,-19,163476.0,2793.0,703.0,8797,437,17575.0,6365,-19,163476,2793.0,19684,551,919.22,-19.0,-19,1900.0,-19.0,703,-19.0,19684,2204,19684.0,703.0,817,919.22,19684,163476,19684.0,703.0,551.0,-19,817,19684,-19,-19,6365.0,-19.0,-19,2793.0,-19,1900.0,0,10347.400000000003,437.0,703,0.0,-19,8797,0,-,
att,1716976114,1716976124.0,821.9999999999999,36000.0,135000.0,0,13356,5581.2,312.0,-18.0,16650.0,-18,3465.0,888.0000000000002,2123388.0,558,0.18000000000000002,252,72,-18,876791.9999999998,0.0,5580.0,3181428,144,95549.99999999999,5598,-18,154800,2664.0,307206,504,289.25999999999993,-18.0,-18,24600.000000000004,-18.0,882,-18.0,346194,2322,230892.00000000006,3938.4000000000015,432,867.4200000000003,288,1237788,204900.00000000003,655.1999999999998,336.00000000000006,-18,252,288,-18,-18,10770.000000000002,-18.0,-18,888.0000000000002,-18,1800.0,0,9813.6,281.99999999999994,900,0.0,-18,7308,0,-,
att,1716976214.0,1716976224.0,2088.0,1800.0,16650.0,0,6030,9802.800000000003,774.0,-18.0,16650.0,-18,9802.800000000003,666.0,8334.0,414,870.84,522,2088,-18,154872.0,2646.0,666.0,8334,414,16650.0,6030,-18,154872,2646.0,18648,522,870.84,-18.0,-18,1800.0,-18.0,666,-18.0,18648,2088,18648.0,666.0,774,870.84,18648,154872,18648.0,666.0,522.0,-18,774,18648,-18,-18,6030.0,-18.0,-18,2646.0,-18,1800.0,0,9802.800000000003,414.0,666,0.0,-18,8334,0,-,
att,1716976114,1716976124.0,1130.5,34000.0,127500.0,0,12614,6270.450000000002,323.0,-17.0,15725.0,-17,3272.5,841.5,1505792.0,527,0.17,238,68,-17,657611.0,0.0,5270.0,3004682,136,71612.5,5287,-17,146200,2516.0,290139,476,409.7000000000001,-17.0,-17,17850.0,-17.0,833,-17.0,326961,2193,163616.5,2944.399999999999,408,819.2300000000002,272,1169022,145205.5,618.7999999999998,357.0,-17,238,272,-17,-17,8950.5,-17.0,-17,1258.0,-17,1700.0,0,9268.4,331.5,850,0.0,-17,6902,0,-,
att,1716976214.0,1716976224.0,1972.0,1700.0,15725.0,0,5695,9258.200000000003,731.0,-17.0,15725.0,-17,9258.200000000003,629.0,7871.0,391,822.46,493,1972,-17,146268.0,2499.0,629.0,7871,391,15725.0,5695,-17,146268,2499.0,17612,493,822.46,-17.0,-17,1700.0,-17.0,629,-17.0,17612,1972,17612.0,629.0,731,822.46,17612,146268,17612.0,629.0,493.0,-17,731,17612,-17,-17,5695.0,-17.0,-17,2499.0,-17,1700.0,0,9258.200000000003,391.0,629,0.0,-17,7871,0,-,
att,1716976114,1716976124.0,864.0,32000.0,120000.0,0,11872,5337.28,288.0,-16.0,14800.0,-16,3080.0,790.3999999999997,1699360.0,496,0.16,224,64,-16,715193.5999999997,0.0,4960.0,2827936,128,77920.0,4976,-16,137600,2368.0,273072,448,308.512,-16.0,-16,19840.0,-16.0,784,-16.0,307728,2064,184739.20000000004,3208.9599999999996,384,771.0400000000002,256,1100256,163945.60000000003,582.3999999999999,313.6,-16,224,256,-16,-16,9113.600000000002,-16.0,-16,947.2000000000003,-16,1600.0,0,8723.199999999999,275.19999999999993,800,0.0,-16,6496,0,-,
att,1716976214.0,1716976224.0,1856.0,1600.0,14800.0,0,5360,8713.600000000002,688.0,-16.0,14800.0,-16,8713.600000000002,592.0,7408.0,368,774.08,464,1856,-16,137664.0,2352.0,592.0,7408,368,14800.0,5360,-16,137664,2352.0,16576,464,774.08,-16.0,-16,1600.0,-16.0,592,-16.0,16576,1856,16576.0,592.0,688,774.08,16576,137664,16576.0,592.0,464.0,-16,688,16576,-16,-16,5360.0,-16.0,-16,2352.0,-16,1600.0,0,8713.600000000002,368.0,592,0.0,-16,7408,0,-,
