window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,forward_iat_total,backward_iat_std,backward_iat_max,total_fhlen,total_bhlen,backward_iat_min,forward_iat_min,fpkts_per_second,flow_iat_min,forward_packet_length_mean,forward_iat_std,flow_iat_total,flow_syn,flow_fin,forward_iat_max,flow_iat_max,forward_packet_length_min,total_backward_packets,flow_iat_mean,flow_ece,flow_protocol,flow_iat_std,bpkts_per_second,backward_packet_length_mean,backward_iat_mean,total_length_of_forward_packets,flow_cwr,flow_packets_per_second,forward_iat_mean,flow_urg,total_length_of_backward_packets,flow_rst,total_forward_packets,forward_packet_length_max,flow_ack,forward_packet_length_std,backward_iat_total,backward_packet_length_max,flow_psh,backward_packet_length_std,backward_packet_length_min,attack_flag,attack_step,attack_name
1716976113.783395,1716976123.783395,17,10.71.123.56,137,10.71.255.255,137,10.721055,-5,-5,0,405,-5,3.585435,1.5,3.585435,460.0,2.9,10.721055,0,0,7.135620,7.135620,460,0,3.55,0,85,2.9,0.0,0,-5,1380,0,1.5,3.55,0,0,0,15,460,0,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,17,10.71.64.106,4988,10.71.255.255,1007,52.726870,-5,-5,0,405,-5,17.403355,1.5,17.403355,930.0,14.399999999999999,52.726870,0,0,35.323515,35.323515,930,0,17.60,0,85,14.399999999999999,0.0,0,-5,2790,0,1.5,17.60,0,0,0,15,930,0,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,17,10.71.65.36,4915,10.71.255.255,4915,175.099645,-5,-5,0,1080,-5,10.245830,4.0,10.245830,1525.0,12.450000000000001,175.099645,0,0,39.932480,39.932480,1525,0,21.90,0,85,12.450000000000001,0.0,0,-5,12200,0,4.0,21.90,0,0,0,40,1525,0,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,6,10.71.65.58,7382,142.251.220.67,443,0,-5,-5,0,135,-5,499995,0.5,499995,330.0,0.0,0,0,0,-5,-5,330,0,0.0,0,30,0.0,0.0,0,-5,330,0,0.5,0.0,0,0,0,5,330,5,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,6,10.71.65.58,3930,142.250.206.234,443,0,-5,-5,0,135,-5,499995,0.5,499995,330.0,0.0,0,0,0,-5,-5,330,0,0.0,0,30,0.0,0.0,0,-5,330,0,0.5,0.0,0,0,0,5,330,5,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,6,142.250.206.234,443,10.71.65.58,3930,0,-5,-5,0,135,-5,499995,0.5,499995,330.0,0.0,0,0,0,-5,-5,330,0,0.0,0,30,0.0,0.0,0,-5,330,0,0.5,0.0,0,0,0,5,330,5,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,6,142.251.220.67,443,10.71.65.58,7382,0,-5,-5,0,135,-5,499995,0.5,499995,330.0,0.0,0,0,0,-5,-5,330,0,0.0,0,30,0.0,0.0,0,-5,330,0,0.5,0.0,0,0,0,5,330,5,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,17,10.71.65.43,3444,255.255.255.255,8610,0,-5,-5,0,135,-5,499995,0.5,499995,290.0,0.0,0,0,0,-5,-5,290,0,0.0,0,85,0.0,0.0,0,-5,290,0,0.5,0.0,0,0,0,5,290,0,0.0,0,-5,0,-5,-5,0,-,
1716976113.783395,1716976123.783395,6,10.71.65.58,8338,142.250.206.206,443,5.204190,-5,-5,0,675,-5,0.017240,2.5,0.017240,3153.0,0.8500000000000001,5.204190,0,0,1.730955,1.730955,330,0,1.05,0,30,0.8500000000000001,0.0,0,-5,15765,0,2.5,1.05,0,0,0,25,13760,25,5304.450000000001,0,-5,20,-5,-5,0,-,
1716976113.783395,1716976123.783395,6,142.250.206.206,443,10.71.65.58,8338,11.154400,-5,-5,0,1485,-5,0.000000,5.5,0.000000,1084.090909090909,0.75,11.154400,0,0,1.717055,1.717055,330,0,1.00,0,30,0.75,0.0,0,-5,11925,0,5.5,1.00,0,0,0,55,5205,55,1412.5,0,-5,25,-5,-5,0,-,
