window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,flow_iat_std,forward_packet_length_max,total_bhlen,flow_protocol,bpkts_per_second,flow_iat_total,forward_iat_max,flow_iat_mean,forward_packet_length_mean,fpkts_per_second,flow_packets_per_second,forward_iat_total,forward_packet_length_std,total_fhlen,forward_iat_min,backward_iat_std,backward_packet_length_mean,backward_iat_total,total_forward_packets,backward_packet_length_std,backward_packet_length_min,flow_ece,forward_packet_length_min,flow_cwr,flow_rst,backward_iat_mean,flow_urg,flow_psh,forward_iat_std,total_length_of_forward_packets,backward_packet_length_max,forward_iat_mean,total_length_of_backward_packets,total_backward_packets,flow_fin,flow_ack,flow_syn,backward_iat_min,flow_iat_min,backward_iat_max,flow_iat_max,attack_flag,attack_step,attack_name
1736941611.560470,1736941621.560470,6,172.31.212.106,1330,172.18.0.2,8001,-12,-12,0,72,0.0,0,-12,-12,0,0.0,0.0,0,-12,0,-12,-12,0,0,0,-12,-12,0,-12,0,0,-12,0,0,-12,0,-12,-12,0,0,0,0,0,-12,-12,-12,-12,0,-,
1736941611.560470,1736941621.560470,6,172.18.0.2,8001,172.31.212.106,1330,-12,-12,0,72,0.0,0,-12,-12,0,0.0,0.0,0,-12,0,-12,-12,0,0,0,-12,-12,0,-12,0,0,-12,0,0,-12,0,-12,-12,0,0,0,0,0,-12,-12,-12,-12,0,-,
1736941611.560470,1736941621.560470,6,172.31.212.106,1330,172.18.0.2,8001,0.0,814,319,66,0.0,0,-11,0.0,814.0,1.0999999999999999,1.0999999999999999,0,0.0,0,-11,-11,0,0,11,-11,-11,0,814,0,0,-11,0,0,0.0,814,-11,0.0,0,0,0,0,11,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,6,172.18.0.2,8001,172.31.212.106,1330,0.0,594,264,66,0.0,0,-11,0.0,594.0,1.0999999999999999,1.0999999999999999,0,0.0,0,-11,-11,0,0,11,-11,-11,0,594,0,11,-11,0,0,0.0,594,-11,0.0,0,0,0,11,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.2,1985,224.0.0.2,1985,23.320000000000007,682,891,187,0.0,87.017337,57.123253,29.04,682.0,3.2999999999999994,3.2999999999999994,87.017337,0.0,0,29.894084,-11,0,0,33,-11,-11,0,682,0,0,-11,0,0,23.320000000000007,2046,-11,29.04,0,0,0,0,0,-11,29.894084,-11,57.123253,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.3,1985,224.0.0.2,1985,21.009999999999998,682,1188,187,0.0,126.083826,58.514137,31.57,676.5,4.3999999999999995,4.3999999999999995,126.083826,9.569999999999999,0,29.382133,-11,0,0,44,-11,-11,0,660,0,0,-11,0,0,21.009999999999998,2706,-11,31.57,0,0,0,0,0,-11,29.382133,-11,58.514137,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.31,7500,255.255.255.255,7500,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.31,7500,10.201.41.255,7500,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.89,714,10.1.5.45,53,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,10.1.5.45,53,10.201.41.89,714,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,6,10.201.41.89,840,185.125.190.97,80,2.1999999999999997,1683,1507,66,0.0,17.238705,5.746994,3.41,935.0,5.5,5.5,17.238705,375.5399999999999,0,2.872177,-11,0,0,55,-11,-11,0,726,0,0,-11,0,11,2.1999999999999997,4675,-11,3.41,0,0,11,44,11,-11,2.872177,-11,5.746994,0,-,
1736941611.560470,1736941621.560470,6,185.125.190.97,80,10.201.41.89,840,1.3200000000000003,2761,913,66,0.0,5.750965,2.876423,1.87,1433.6666666666665,3.2999999999999994,3.2999999999999994,5.750965,939.29,0,2.874542,-11,0,0,33,-11,-11,0,726,0,0,-11,0,11,1.3200000000000003,4301,-11,1.87,0,0,11,33,0,-11,2.874542,-11,2.876423,0,-,
1736941611.560470,1736941621.560470,17,10.201.41.89,3129,175.193.3.234,123,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
1736941611.560470,1736941621.560470,17,175.193.3.234,123,10.201.41.89,3129,-11,-11,0,187,0.0,0,-11,-11,0,0.0,0.0,0,-11,0,-11,-11,0,0,0,-11,-11,0,-11,0,0,-11,0,0,-11,0,-11,-11,0,0,0,0,0,-11,-11,-11,-11,0,-,
