source_ip_address,source_port_number,destination_ip_address,destination_port_number,is_ack,destination_mac_address,acknowledge_number,is_rst,is_cwr,is_fin,total_ip_packet_length,window_size,network_protocol,is_psh,is_syn,is_urg,transport_protocol,ttl,ip_identifier,sequence_number,is_ece,source_mac_address,attack_flag,attack_step,attack_name
172.31.212.106,41330,172.18.0.2,8001,0,02:42:ac:12:00:02,0,0,0,0,60,64240,IP,0,1,0,TCP,63,55279,2374133634,0,02:42:8a:ec:c5:7d,0,benign,normal
172.18.0.2,8001,172.31.212.106,41330,1,02:42:8a:ec:c5:7d,2374133635,1,0,0,40,0,IP,0,0,0,TCP,64,0,0,0,02:42:ac:12:00:02,0,benign,benign
10.201.41.2,1985,224.0.0.2,1985,0,01:00:5e:00:00:02,-1,0,0,0,48,-1,IP,0,0,0,UDP,1,0,-1,0,00:00:0c:07:ac:29,0,benign,benign
10.201.41.3,1985,224.0.0.2,1985,0,01:00:5e:00:00:02,-1,0,0,0,48,-1,IP,0,0,0,UDP,1,0,-1,0,98:a2:c0:37:6e:df,0,benign,benign
10.201.41.125,58553,239.255.255.250,1900,0,01:00:5e:7f:ff:fa,-1,0,0,0,195,-1,IP,0,0,0,UDP,1,29037,-1,0,00:50:aa:54:94:49,0,benign,normal
10.201.41.125,58553,239.255.255.250,1900,0,01:00:5e:7f:ff:fa,-1,0,0,0,195,-1,IP,0,0,0,UDP,1,29231,-1,0,00:50:aa:54:94:49,0,benign,normal
10.201.41.125,58553,239.255.255.250,1900,0,01:00:5e:7f:ff:fa,-1,0,0,0,195,-1,IP,0,0,0,UDP,1,29349,-1,0,00:50:aa:54:94:49,0,benign,normal
10.201.41.2,1985,224.0.0.2,1985,0,01:00:5e:00:00:02,-1,0,0,0,48,-1,IP,0,0,0,UDP,1,0,-1,0,00:00:0c:07:ac:29,0,benign,normal
10.201.41.31,17500,255.255.255.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,41027,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.31,17500,10.201.41.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,49760,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.31,17500,255.255.255.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,41028,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.31,17500,255.255.255.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,41029,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.31,17500,255.255.255.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,41030,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.31,17500,255.255.255.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,41031,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.31,17500,255.255.255.255,17500,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,218,-1,IP,0,0,0,UDP,128,41032,-1,0,74:86:e2:19:da:49,0,benign,normal
10.201.41.3,1985,224.0.0.2,1985,0,01:00:5e:00:00:02,-1,0,0,0,48,-1,IP,0,0,0,UDP,1,0,-1,0,98:a2:c0:37:6e:df,0,benign,normal
10.201.41.203,138,10.201.41.255,138,0,ff:ff:ff:ff:ff:ff,-1,0,0,0,229,-1,IP,0,0,0,UDP,64,18417,-1,0,00:50:aa:55:13:94,0,benign,normal
